ifi_district_name,ifi_state_context,lgd_state_code,lgd_state_name,lgd_district_code,lgd_district_name,census_2001_code,census_2011_code,census_boundary_district,census_boundary_state,censuscode,match_class,verification_status,historical_boundary_status,mapping_method,mapping_confidence,notes
Ajmer,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8.0,Rajasthan,86.0,Ajmer,21.0,119.0,Ajmer,Rajasthan,119.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Akharpur,Uttar Pradesh,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Akola,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27.0,Maharashtra,467.0,Akola,5.0,501.0,Akola,Maharashtra,501.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Alappuzha,Bihar; Haryana; Karnataka; Kerala; Rajasthan; Uttar Pradesh,32.0,Kerala,554.0,Alappuzha,11.0,598.0,Alappuzha,Kerala,598.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Aligarh,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9.0,Uttar Pradesh,119.0,Aligarh,12.0,143.0,Aligarh,Uttar Pradesh,143.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Alirajpur,Andhra Pradesh; Bihar; Chhattisgarh; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23.0,Madhya Pradesh,639.0,Alirajpur,24.0,465.0,Alirajpur,Madhya Pradesh,465.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Almora,Uttar Pradesh; Uttarakhand,5.0,Uttarakhand,45.0,Almora,9.0,64.0,Almora,Uttarakhand,64.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Alwar,Bihar; Gujarat; Haryana; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh,8.0,Rajasthan,87.0,Alwar,6.0,104.0,Alwar,Rajasthan,104.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Ambala,Bihar; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,6.0,Haryana,58.0,Ambala,2.0,70.0,Ambala,Haryana,70.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Ambedkar Nagar,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,9.0,Uttar Pradesh,121.0,Ambedkar Nagar,48.0,178.0,Ambedkar Nagar,Uttar Pradesh,178.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Amethi,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,9.0,Uttar Pradesh,640.0,Amethi,0.0,0.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Amravati,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Telangana; Uttar Pradesh,27.0,Maharashtra,468.0,Amravati,7.0,503.0,Amravati,Maharashtra,503.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Amreli,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24.0,Gujarat,439.0,Amreli,13.0,480.0,Amreli,Gujarat,480.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Amritsar,Arunachal Pradesh; Assam; Delhi; Haryana; Jammu and Kashmir; Madhya Pradesh; Punjab; Rajasthan; Uttar Pradesh; West Bengal,3.0,Punjab,27.0,Amritsar,2.0,49.0,Amritsar,Punjab,49.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Amroha,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9.0,Uttar Pradesh,154.0,Amroha,6.0,137.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Anand,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24.0,Gujarat,440.0,Anand,15.0,482.0,Anand,Gujarat,482.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Ananthapuramu,Andhra Pradesh,28.0,Andhra Pradesh,502.0,Ananthapuramu,22.0,553.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Ananthapuramuamu,Andhra Pradesh; Madhya Pradesh; Punjab,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Anantnag,Arunachal Pradesh; Assam; Delhi; Jammu & Kashmir; Jammu and Kashmir; Punjab; Uttar Pradesh,1.0,Jammu And Kashmir,1.0,Anantnag,6.0,14.0,Anantnag,Jammu & Kashmir,14.0,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context does not uniquely confirm LGD state name; manual review required. LGD/Census candidate by name; codes are not assumed equivalent.
Anjaw,Arunachal Pradesh; Assam; Jammu and Kashmir; Punjab; Uttar Pradesh,12.0,Arunachal Pradesh,628.0,Anjaw,0.0,260.0,Anjaw,Arunanchal Pradesh,260.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Anugul,Andhra Pradesh; Assam; Bihar; Haryana; Madhya Pradesh; Odisha; Rajasthan; Uttar Pradesh; West Bengal,,,,,,,,,,UNMATCHED,UNMATCHED,HISTORICAL_REVIEW_REQUIRED,none,NONE,No defensible LGD/Census candidate in the reviewed comparison. Existing comparison note: No exact or normalized LGD district/state candidate.
Anuppur,Andhra Pradesh; Bihar; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23.0,Madhya Pradesh,390.0,Anuppur,16.0,461.0,Anuppur,Madhya Pradesh,461.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Araria,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Jharkhand; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,10.0,Bihar,188.0,Araria,7.0,209.0,Araria,Bihar,209.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Ariyalur,Tamil Nadu,33.0,Tamil Nadu,610.0,Ariyalur,17.0,616.0,Ariyalur,Tamil Nadu,616.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Arvalli,Bihar; Gujarat; Madhya Pradesh; Maharashtra; Rajasthan; Uttar Pradesh,24.0,Gujarat,672.0,Arvalli,0.0,0.0,,,,HISTORICAL_REVIEW,REQUIRES_MANUAL_VERIFICATION,HISTORICAL_REVIEW_REQUIRED,exact_name_without_complete_state_boundary_confirmation,LOW_REQUIRES_HISTORICAL_REVIEW,Identity is plausible by exact LGD name but state or Census-boundary evidence is incomplete or contradictory. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD district has no exact Census boundary pair.
Arwal,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Uttar Pradesh; Uttar pradesh; West Bengal,10.0,Bihar,611.0,Arwal,33.0,240.0,Arwal,Bihar,240.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Ashoknagar,Andhra Pradesh; Bihar; Gujarat; Haryana; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; West Bengal,23.0,Madhya Pradesh,391.0,Ashoknagar,46.0,459.0,Ashoknagar,Madhya Pradesh,459.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Auraiya,Arunachal Pradesh; Assam; Bihar; East Rajasthan; Gujarat; Haryana; Himachal Pradesh; Jammu and Kashmir; Kerala; Madhya Pradesh; Maharashtra; Odisha; Punjab; Rajasthan; Uttar Pradesh; Uttar pradesh; Uttarakhand; West Bengal,9.0,Uttar Pradesh,122.0,Auraiya,32.0,162.0,Auraiya,Uttar Pradesh,162.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
Aurangabad,Andhra Pradesh; Assam; Bihar; Gujarat; Haryana; Himachal Pradesh; Kerala; Madhya Pradesh; Maharashtra; Odisha; Rajasthan; Telangana; Uttar Pradesh; Uttar pradesh; West Bengal,10.0,Bihar,189.0,Aurangabad,34.0,235.0,Aurangabad,Bihar,235.0,VERIFIED_NAME_STATE,NAME_STATE_CANDIDATE_WITH_HISTORICAL_LIMITATION,HISTORICAL_REVIEW_REQUIRED,exact_name_state_boundary_candidate,HIGH_FOR_CURRENT_NAME_STATE_LINK; HISTORICAL_LIMITATION,"Exact LGD name, observed state context, and Census boundary candidate agree; code equivalence is not assumed. Existing comparison note: Exact LGD district name; observed IFI state context is retained separately because the IFI field can be multi-value and historical equivalence is unresolved. Observed IFI state context includes LGD state name. LGD/Census candidate by name; codes are not assumed equivalent."
